metricId,time,value
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:24:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:26:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:28:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:30:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:32:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:34:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:36:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:38:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:40:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:42:00,
